"user_id","donated","condition","clickthrough","recruited","raised","donatedsince","n","propdevice","numdevice","device","firstvisit","houroffirst"
46979,135,0,0,0,0,0,1,1,1,"Desktop",11,"21"
47417,25,1,0,0,0,0,1,0,1,"Mobile",20,"14"
47753,350,0,1,0,0,1,1,1,1,"Desktop",21,"13"
47791,50,1,1,0,0,1,1,0,1,"Tablet",22,"8"
48000,20,0,0,0,0,1,1,0,1,"Mobile",3,"15"
48256,50,0,0,0,0,1,1,0,1,"Mobile",7,"14"
48880,410,1,1,0,0,1,4,0.25,2,"Desktop",9,"12"
50103,20,0,0,0,0,1,20,1,1,"Desktop",22,"23"
50243,25,0,0,0,0,0,1,0,1,"Mobile",24,"12"
50391,15.38,0,0,0,0,1,1,0,1,"Mobile",27,"19"
50495,55,1,0,0,0,1,1,0,1,"Mobile",5,"22"
50500,55,0,0,0,0,1,3,1,1,"Desktop",16,"0"
50540,130,1,0,0,0,0,6,0.333333333333333,2,"",21,"14"
50926,28.93,0,0,0,0,0,1,1,1,"Desktop",12,"19"
51346,100,0,0,0,0,0,1,1,1,"Desktop",24,"16"
51419,529.21,1,0,0,0,0,3,1,1,"Desktop",23,"10"
52303,106,0,0,0,0,1,5,0.5,2,"",25,"8"
52566,25,0,0,0,0,0,1,0,1,"Mobile",20,"20"
52628,25,1,0,0,0,0,1,0,1,"Mobile",9,"8"
53248,50,0,0,0,0,1,1,1,1,"Desktop",25,"11"
53268,178.83,1,0,0,0,0,5,0.75,2,"",3,"16"
53564,25,0,0,0,0,0,1,1,1,"Desktop",27,"7"
53613,500,0,0,0,0,1,1,1,1,"Desktop",13,"22"
53906,25,1,0,0,0,1,1,1,1,"Desktop",6,"10"
54214,25,1,0,0,0,0,1,0,1,"Mobile",16,"21"
54260,254.26,0,0,0,0,1,6,1,1,"Desktop",6,"19"
54924,65,1,0,0,0,0,3,1,1,"Desktop",19,"21"
56194,1455.41,0,0,0,0,1,33,1,1,"Desktop",1,"19"
56617,398.98,1,0,0,0,0,1,0,1,"Mobile",5,"10"
57342,115,1,0,0,0,1,2,1,1,"Desktop",16,"4"
57455,100,1,0,0,0,0,2,1,1,"Desktop",21,"15"
58477,125,1,1,0,0,0,1,1,1,"Desktop",12,"13"
58701,2213.17,0,0,0,0,1,105,1,1,"Desktop",1,"22"
58752,25,0,1,0,0,1,1,0,1,"Mobile",24,"19"
59325,200,1,0,0,0,1,2,1,1,"Desktop",2,"15"
59378,1620.55,0,0,0,0,1,6,0.857142857142857,2,"Desktop",26,"11"
59704,160.49,1,0,0,0,1,2,1,1,"Desktop",12,"13"
59740,467.39,0,0,0,0,1,10,0.272727272727273,2,"Desktop",16,"15"
59900,50,0,1,0,0,0,1,1,1,"Desktop",18,"15"
59967,25,1,0,0,0,1,1,0,1,"Mobile",11,"17"
60136,150,0,0,0,0,1,2,0.5,2,"",5,"2"
60150,368.96,1,0,0,0,1,5,0.333333333333333,2,"Desktop",15,"14"
60227,26.23,0,0,0,0,1,1,1,1,"Desktop",9,"13"
60407,100,1,0,0,0,1,1,0,1,"Mobile",13,"12"
60774,25,1,0,0,0,1,1,1,1,"Desktop",25,"23"
61719,10,1,0,0,0,0,1,1,1,"Desktop",4,"9"
61854,11,0,0,0,0,1,1,1,1,"Desktop",21,"17"
62042,42.97,1,0,0,0,1,1,1,1,"Desktop",23,"11"
62266,50,1,0,0,0,1,1,1,1,"Desktop",15,"10"
62479,25.13,1,0,0,0,0,2,1,1,"Desktop",4,"19"
62567,175,1,1,0,0,0,1,1,1,"Desktop",24,"14"
65035,50,0,0,0,0,0,1,0,1,"Mobile",9,"0"
65294,200,0,1,0,0,0,1,1,1,"Desktop",10,"2"
85993,25,1,0,0,0,0,1,0,1,"Mobile",2,"2"
86669,100,0,0,0,0,1,3,0.5,2,"Desktop",20,"15"
88792,342.68,0,0,0,0,0,2,1,1,"Desktop",19,"18"
89070,33.53,0,0,0,0,1,1,1,1,"Desktop",13,"13"
89073,122.32,0,0,0,0,0,1,1,1,"Desktop",9,"18"
